Source Type,Risk Type,Risk Greek,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Market Date,Open,Current,Move,Market Status,Market Data Status
fx/delta,FX,Delta,FAKE_REPLACE_ME - EUR/USD,Spot,N/A,,,2026-08-13,1.123625,1.121325,-0.0023,OFFICIAL,Available
fx/delta,FX,Delta,FAKE_REPLACE_ME - USD/JPY,Spot,N/A,,,2026-08-13,1.096437,1.097527,0.00109,OFFICIAL,Available
fx/delta,FX,Delta,FAKE_REPLACE_ME - GBP/USD,Spot,N/A,,,2026-08-13,1.117066,1.116206,-0.00086,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - EUR/USD,N/A,N/A,,,2026-08-13,0.905582,0.907932,0.00235,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - USD/JPY,N/A,N/A,,,2026-08-13,0.973937,0.972657,-0.00128,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - GBP/USD,N/A,N/A,,,2026-08-13,0.911924,0.913204,0.00128,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-13,0.204941,0.195271,-0.00967,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 3M,N/A,1,,2026-08-13,0.077804,0.085664,0.00786,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 6M,N/A,2,,2026-08-13,0.212678,0.208098,-0.00458,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1Y,N/A,3,,2026-08-13,0.302567,0.308957,0.00639,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-13,0.34424,0.3516,0.00736,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 3M,N/A,1,,2026-08-13,0.149333,0.149743,0.00041,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 6M,N/A,2,,2026-08-13,0.342395,0.344805,0.00241,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1Y,N/A,3,,2026-08-13,0.251207,0.239077,-0.01213,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-13,0.238409,0.245259,0.00685,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 3M,N/A,1,,2026-08-13,0.076202,0.075122,-0.00108,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 6M,N/A,2,,2026-08-13,0.076367,0.083297,0.00693,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1Y,N/A,3,,2026-08-13,0.099734,0.096594,-0.00314,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 6M,N/A,0,,2026-08-13,0.05937,0.05961,0.00024,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,N/A,1,,2026-08-13,0.040807,0.039637,-0.00117,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,N/A,2,,2026-08-13,0.016787,0.016247,-0.00054,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,N/A,3,,2026-08-13,0.019458,0.018348,-0.00111,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 10Y,N/A,4,,2026-08-13,0.023583,0.022783,-0.0008,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 30Y,N/A,5,,2026-08-13,0.013276,0.013326,0.00005,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 6M,N/A,0,,2026-08-13,0.063086,0.063766,0.00068,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 1Y,N/A,1,,2026-08-13,0.023937,0.024897,0.00096,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 2Y,N/A,2,,2026-08-13,0.029047,0.029707,0.00066,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 5Y,N/A,3,,2026-08-13,0.033975,0.034286,0.000311,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 10Y,N/A,4,,2026-08-13,0.055181,0.054861,-0.00032,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 30Y,N/A,5,,2026-08-13,0.079071,0.079081,0.00001,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 6M,N/A,0,,2026-08-13,0.038446,0.039036,0.00059,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 1Y,N/A,1,,2026-08-13,0.068436,0.069486,0.00105,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 2Y,N/A,2,,2026-08-13,0.040874,0.041294,0.00042,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 5Y,N/A,3,,2026-08-13,0.032934,0.033494,0.00056,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 10Y,N/A,4,,2026-08-13,0.051926,0.051476,-0.00045,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 30Y,N/A,5,,2026-08-13,0.027055,0.028105,0.00105,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - USD SOFR Gamma,FAKE_REPLACE_ME - 1Y,N/A,0,,2026-08-13,0.079815,0.079005,-0.00081,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - USD SOFR Gamma,FAKE_REPLACE_ME - 2Y,N/A,1,,2026-08-13,0.050878,0.050198,-0.00068,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - USD SOFR Gamma,FAKE_REPLACE_ME - 5Y,N/A,2,,2026-08-13,0.028305,0.028835,0.00053,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - USD SOFR Gamma,FAKE_REPLACE_ME - 10Y,N/A,3,,2026-08-13,0.025244,0.024614,-0.00063,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - EUR ESTR Gamma,FAKE_REPLACE_ME - 1Y,N/A,0,,2026-08-13,0.028782,0.027842,-0.00094,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - EUR ESTR Gamma,FAKE_REPLACE_ME - 2Y,N/A,1,,2026-08-13,0.042027,0.042567,0.00054,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - EUR ESTR Gamma,FAKE_REPLACE_ME - 5Y,N/A,2,,2026-08-13,0.059389,0.059819,0.00043,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - EUR ESTR Gamma,FAKE_REPLACE_ME - 10Y,N/A,3,,2026-08-13,0.049493,0.049853,0.00036,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - GBP SONIA Gamma,FAKE_REPLACE_ME - 1Y,N/A,0,,2026-08-13,0.074246,0.074896,0.00065,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - GBP SONIA Gamma,FAKE_REPLACE_ME - 2Y,N/A,1,,2026-08-13,0.046987,0.048097,0.00111,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - GBP SONIA Gamma,FAKE_REPLACE_ME - 5Y,N/A,2,,2026-08-13,0.030122,0.029322,-0.0008,OFFICIAL,Available
ir/gamma,IR,Gamma,FAKE_REPLACE_ME - GBP SONIA Gamma,FAKE_REPLACE_ME - 10Y,N/A,3,,2026-08-13,0.042615,0.043295,0.00068,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,0,0,2026-08-13,0.304991,0.306831,0.00184,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,0,1,2026-08-13,0.160232,0.171662,0.01143,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,0,2,2026-08-13,0.307844,0.299784,-0.00806,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1Y,0,3,2026-08-13,0.055337,0.060187,0.00485,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,1,0,2026-08-13,0.336932,0.341412,0.00448,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,1,1,2026-08-13,0.138626,0.144506,0.00588,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,1,2,2026-08-13,0.3029,0.30584,0.00294,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,1,3,2026-08-13,0.210893,0.208253,-0.00264,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,2,0,2026-08-13,0.290567,0.300457,0.00989,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,2,1,2026-08-13,0.170597,0.169037,-0.00156,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,2,2,2026-08-13,0.154778,0.166148,0.01137,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1Y,2,3,2026-08-13,0.181259,0.184619,0.00336,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,3,0,2026-08-13,0.268346,0.278776,0.01043,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,3,1,2026-08-13,0.347903,0.354363,0.00646,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,3,2,2026-08-13,0.343628,0.345978,0.00235,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,3,3,2026-08-13,0.324731,0.323711,-0.00102,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1M,4,0,2026-08-13,0.106784,0.107704,0.00092,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 3M,4,1,2026-08-13,0.100091,0.096571,-0.00352,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,4,2,2026-08-13,0.053123,0.042073,-0.01105,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,4,3,2026-08-13,0.192902,0.191382,-0.00152,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,0,0,2026-08-13,0.273299,0.285209,0.01191,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,0,1,2026-08-13,0.267923,0.257263,-0.01066,OFFICIAL,Available
