Market Date,Portfolio,ConcertoField,PL
2026-08-11,FAKE_REPLACE_ME - BOOK_A,irdeltaeffect,12450.25
2026-08-11,FAKE_REPLACE_ME - BOOK_A,fxdeltaeffect,-3280.5
2026-08-11,FAKE_REPLACE_ME - BOOK_A,creditdeltaeffect,8425.75
2026-08-11,FAKE_REPLACE_ME - BOOK_B,irdeltaeffect,-7750
2026-08-11,FAKE_REPLACE_ME - BOOK_B,fxdeltaeffect,2180.5
2026-08-11,FAKE_REPLACE_ME - BOOK_B,creditdeltaeffect,-4920.25
2026-08-12,FAKE_REPLACE_ME - BOOK_A,irdeltaeffect,13825.5
2026-08-12,FAKE_REPLACE_ME - BOOK_A,fxdeltaeffect,-2950.25
2026-08-12,FAKE_REPLACE_ME - BOOK_A,creditdeltaeffect,9150
2026-08-12,FAKE_REPLACE_ME - BOOK_B,irdeltaeffect,-6890.75
2026-08-12,FAKE_REPLACE_ME - BOOK_B,fxdeltaeffect,2475
2026-08-12,FAKE_REPLACE_ME - BOOK_B,creditdeltaeffect,-4510.5
2026-08-13,FAKE_REPLACE_ME - BOOK_A,irdeltaeffect,11980
2026-08-13,FAKE_REPLACE_ME - BOOK_A,fxdeltaeffect,-3425.75
2026-08-13,FAKE_REPLACE_ME - BOOK_A,creditdeltaeffect,8760.25
2026-08-13,FAKE_REPLACE_ME - BOOK_B,irdeltaeffect,-7325.5
2026-08-13,FAKE_REPLACE_ME - BOOK_B,fxdeltaeffect,1980.25
2026-08-13,FAKE_REPLACE_ME - BOOK_B,creditdeltaeffect,-5285
2026-08-14,FAKE_REPLACE_ME - BOOK_A,irdeltaeffect,15120.75
2026-08-14,FAKE_REPLACE_ME - BOOK_A,fxdeltaeffect,-2660
2026-08-14,FAKE_REPLACE_ME - BOOK_A,creditdeltaeffect,10350.5
2026-08-14,FAKE_REPLACE_ME - BOOK_B,irdeltaeffect,-6180.25
2026-08-14,FAKE_REPLACE_ME - BOOK_B,fxdeltaeffect,2850.75
2026-08-14,FAKE_REPLACE_ME - BOOK_B,creditdeltaeffect,-3980.5
